# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
quyết	q2E		
fj5	phạm		
phạm	fj5		
six	sĩ		
sĩ	six		
hCS	hoá		
hcs	hoá		
hoá	hCS		
m4j	mặt		
mặt	m4j		
Rd9	triển		
rd9	triển		
triển	Rd9		
RhC	triệu		
rhc	triệu		
triệu	RhC		
npf	nào		
nào	npf		
f72	phần		
phần	f72		
RE3	trẻ		
re3	trẻ		
trẻ	RE3		
hTz	hay		
htz	hay		
hay	hTz		
l7f	lần		
lần	l7f		
b2f	bằng		
bằng	b2f		
C9s	chất		
c9s	chất		
chất	C9s		
mmZ	minh		
mmz	minh		
minh	mmZ		
dpJ	độ		
dpj	độ		
độ	dpJ		
nes	nếu		
nếu	nes		
Rs3	trưởng		
rs3	trưởng		
trưởng	Rs3		
r2f	rằng		
rằng	r2f		
jxS	giới		
jxs	giới		
giới	jxS		
tp5	tạo		
tạo	tp5		
qc3	quả		
quả	qc3		
ydZ	nhiên		
ydz	nhiên		
nhiên	ydZ		
RzC	trọng		
rzc	trọng		
trọng	RzC		
vij	vị		
vị	vij		
qc1	quá		
quá	qc1		
mEj	mẹ		
mej	mẹ		
mẹ	mEj		
bks	bán		
bán	bks		
Tv3	thủ		
tv3	thủ		
thủ	Tv3		
Ri5	trị		
ri5	trị		
trị	Ri5		
duj	địa		
địa	duj		
dza	đưa		
đưa	dza		
K8R	khoảng		
k8r	khoảng		
khoảng	K8R		
h4J	họ		
h4j	họ		
họ	h4J		
dpj	đạo		
đạo	dpj		
tgY	tục		
tgy	tục		
tục	tgY		
tt9	tổng		
tổng	tt9		
th6	tiêu		
tiêu	th6		
txA	ty		
txa	ty		
ty	txA		
TN1	thức		
tn1	thức		
thức	TN1		
vdJ	viện		
vdj	viện		
viện	vdJ		
Tj0	tham		
tj0	tham		
tham	Tj0		
ddJ	điện		
ddj	điện		
điện	ddJ		
tm7	tính		
tính	tm7		
sSu	sử		
ssu	sử		
sử	sSu		
mca	mua		
mua	mca		
g7f	gần		
gần	g7f		
cjr	cảm		
cảm	cjr		
hly	huyện		
huyện	hly		
hhJ	hiệu		
hhj	hiệu		
hiệu	hhJ		
fD3	phẩm		
fd3	phẩm		
phẩm	fD3		
cWr	cảnh		
cwr	cảnh		
cảnh	cWr		
hUj	hệ		
huj	hệ		
hệ	hUj		
brz	bên		
bên	brz		
ldy	luật		
luật	ldy		
mTs	máy		
mts	máy		
máy	mTs		
sKs	sáng		
sks	sáng		
sáng	sKs		
kxi	kỳ		
kỳ	kxi		
Nla	nguyên		
nla	nguyên		
nguyên	Nla		
cRe	cứu		
cre	cứu		
cứu	cRe		
vNj	vực		
vnj	vực		
vực	vNj		
jps	giáo		
giáo	jps		
jSf	giờ		
jsf	giờ		
giờ	jSf		
mxw	mỹ		
mỹ	mxw		
hBJ	hoạt		
hbj	hoạt		
hoạt	hBJ		
b4s	bắt		
bắt	b4s		
vBj	vậy		
vbj	vậy		
vậy	vBj		
kdS	kiến		
kds	kiến		
kiến	kdS		
klr	kiểm		
kiểm	klr		
dqR	đổi		
dqr	đổi		
đổi	dqR		
xB0	xây		
xb0	xây		
xây	xB0		
d9s	đất		
đất	d9s		
vzi	vừa		
vừa	vzi		
sqs	sát		
sát	sqs		
K4S	khó		
k4s	khó		
khó	K4S		
WUj	nghệ		
wuj	nghệ		
nghệ	WUj		
txU	tỷ		
txu	tỷ		
tỷ	txU		
RS3	trở		
rs3	trở		
trở	RS3		
gBz	gây		
gbz	gây		
gây	gBz		
hsF	hoàn		
hsf	hoàn		
hoàn	hsF		
v7s	vấn		
vấn	v7s		
tbA	tuy		
tba	tuy		
tuy	tbA		
d1Z	đơn		
d1z	đơn		
đơn	d1Z		
KGz	khai		
kgz	khai		
khai	KGz		
tR7	tốt		
tr7	tốt		
tốt	tR7		
mWj	mạnh		
mwj	mạnh		
mạnh	mWj		
jjr	giảm		
giảm	jjr		
bjJ	biệt		
bjj	biệt		
biệt	bjJ		
ylj	nhiệm		
nhiệm	ylj		
Dnj	dựng		
dnj	dựng		
dựng	Dnj		
Tt7	thống		
tt7	thống		
thống	Tt7		
lge	lúc		
lúc	lge		
b9s	bất		
bất	b9s		
RK0	trang		
rk0	trang		
trang	RK0		
viz	vi		
vi	viz		
TSE	thứ		
tse	thứ		
thứ	TSE		
rqF	rồi		
rqf	rồi		
rồi	rqF		
fp7	phố		
phố	fp7		
Wij	nghị		
wij	nghị		
nghị	Wij		
tg7	tiếng		
tiếng	tg7		
def	đều		
đều	def		
dxj	đặc		
đặc	dxj		
CtF	chồng		
ctf	chồng		
chồng	CtF		
cps	cáo		
cáo	cps		
hpF	hồ		
hpf	hồ		
hồ	hpF		
mNs	mức		
mns	mức		
mức	mNs		
Cis	chí		
cis	chí		
chí	Cis		
CUs	chế		
cus	chế		
chế	CUs		
xSU	xử		
xsu	xử		
xử	xSU		
ts5	tượng		
tượng	ts5		
mqX	mỗi		
mqx	mỗi		
mỗi	mqX		
ytz	nhau		
nhau	ytz		
tc0	ta		
ta	tc0		
jif	gì		
gì	jif		
jne	giúp		
giúp	jne		
nSw	nữ		
nsw	nữ		
nữ	nSw		
Clu	chuyển		
clu	chuyển		
chuyển	Clu		
TX0	thêm		
tx0	thêm		
thêm	TX0		
dWs	đánh		
dws	đánh		
đánh	dWs		
lrJ	loại		
lrj	loại		
loại	lrJ		
Ri1	trí		
ri1	trí		
trí	Ri1		
td7	tiến		
tiến	td7		
KdS	khiến		
kds	khiến		
khiến	KdS		
Ciz	chi		
ciz	chi		
chi	Ciz		
tQ2	tìm		
tq2	tìm		
tìm	tQ2		
mCe	muốn		
mce	muốn		
muốn	mCe		
fv5	phụ		
phụ	fv5		
ccs	cá		
cá	ccs		
T70	thân		
t70	thân		
thân	T70		
Cly	chuyện		
cly	chuyện		
chuyện	Cly		
dsF	đoàn		
dsf	đoàn		
đoàn	dsF		
q1I	quyền		
q1i	quyền		
quyền	q1I		
vSj	vợ		
vsj	vợ		
vợ	vSj		
qk3	quản		
quản	qk3		
dtZ	đông		
dtz	đông		
đông	dtZ		
bpS	bố		
bps	bố		
bố	bpS		
Cuz	chia		
cuz	chia		
chia	Cuz		
hUJ	hoặc		
huj	hoặc		
hoặc	hUJ		
sgs	sách		
sách	sgs		
tC1	tích		
tc1	tích		
tích	tC1		
fQ0	phim		
fq0	phim		
phim	fQ0		
mKz	mang		
mkz	mang		
mang	mKz		
sNs	sức		
sns	sức		
sức	sNs		
hCZ	hoa		
hcz	hoa		
hoa	hCZ		
lxF	lời		
lxf	lời		
lời	lxF		
Dvi	dùng		
dvi	dùng		
dùng	Dvi		
N7z	ngân		
n7z	ngân		
ngân	N7z		
Csz	chương		
csz	chương		
chương	Csz		
jjs	giám		
giám	jjs		
yyj	nhập		
nhập	yyj		
NWf	ngành		
nwf	ngành		
ngành	NWf		
tn2	từng		
từng	tn2		
nkj	nạn		
nạn	nkj		
has	hết		
hết	has		
DdJ	diện		
ddj	diện		
diện	DdJ		
Cla	chuyên		
cla	chuyên		
chuyên	Cla		
tT0	tay		
tt0	tay		
tay	tT0		
tC5	tịch		
tc5	tịch		
tịch	tC5		
NTz	ngay		
ntz	ngay		
ngay	NTz		
nxZ	nơi		
nxz	nơi		
nơi	nxZ		
KCZ	khoa		
kcz	khoa		
khoa	KCZ		
DCj	dịch		
dcj	dịch		
dịch	DCj		
lyj	lập		
lập	lyj		
jSw	giữ		
jsw	giữ		
giữ	jSw		
lxJ	lợi		
lxj	lợi		
lợi	lxJ		
Cns	chứng		
cns	chứng		
chứng	Cns		
hGr	hải		
hgr	hải		
hải	hGr		
hpJ	hộ		
hpj	hộ		
hộ	hpJ		
Tj7	thiết		
tj7	thiết		
thiết	Tj7		
hss	hướng		
hướng	hss		
f47	phó		
phó	f47		
td6	tiên		
tiên	td6		
fgY	phục		
fgy	phục		
phục	fgY		
mlJ	mọi		
mlj	mọi		
mọi	mlJ		
bpz	bao		
bao	bpz		
xP1	xét		
xp1	xét		
xét	xP1		
D7x	dẫn		
d7x	dẫn		
dẫn	D7x		
RlI	truyền		
rli	truyền		
truyền	RlI		
bhR	biểu		
bhr	biểu		
biểu	bhR		
fi1	phí		
phí	fi1		
ccz	ca		
ca	ccz		
bdR	biển		
bdr	biển		
biển	bdR		
TSA	thư		
tsa	thư		
thư	TSA		
bEs	bé		
bes	bé		
bé	bEs		
b4R	bỏ		
b4r	bỏ		
bỏ	b4R		
lCj	lịch		
lcj	lịch		
lịch	lCj		
R72	trần		
r72	trần		
trần	R72		
Cva	chung		
cva	chung		
chung	Cva		
xd1	xác		
xác	xd1		
v9j	vật		
vật	v9j		
r4X	rõ		
r4x	rõ		
rõ	r4X		
jzw	giữa		
giữa	jzw		
jcr	giả		
giả	jcr		
bGf	bài		
bgf	bài		
bài	bGf		
spz	sao		
sao	spz		
cGs	cái		
cgs	cái		
cái	cGs		
zxa	y		
y	zxa		
Dvz	du		
dvz	du		
du	Dvz		
zns	ứng		
ứng	zns		
tSU	tử		
tsu	tử		
tử	tSU		
dMj	đẹp		
dmj	đẹp		
đẹp	dMj		
xH0	xem		
xh0	xem		
xem	xH0		
h8F	hoàng		
h8f	hoàng		
hoàng	h8F		
hCF	hoà		
hcf	hoà		
hoà	hCF		
Dvf	dù		
dvf	dù		
dù	Dvf		
Rc3	trả		
rc3	trả		
trả	Rc3		
sEr	sẻ		
ser	sẻ		
sẻ	sEr		
CcS	chiếc		
ccs	chiếc		
chiếc	CcS		
dvr	đủ		
đủ	dvr		
DGf	dài		
dgf	dài		
dài	DGf		
kdJ	kiện		
kdj	kiện		
kiện	kdJ		
cpR	cổ		
cpr	cổ		
cổ	cpR		
vKf	vàng		
vkf	vàng		
vàng	vKf		
TT0	thay		
tt0	thay		
thay	TT0		
dqj	đạt		
đạt	dqj		
TDY	thuộc		
tdy	thuộc		
thuộc	TDY		
kUs	kế		
kus	kế		
kế	kUs		
gGs	gái		
ggs	gái		
gái	gGs		
RS5	trợ		
rs5	trợ		
trợ	RS5		
lUz	lê		
luz	lê		
lê	lUz		
bcz	ba		
ba	bcz		
y4R	nhỏ		
y4r	nhỏ		
nhỏ	y4R		
kxe	ký		
ký	kxe		
CSJ	chọn		
csj	chọn		
chọn	CSJ		
CdS	chiến		
cds	chiến		
chiến	CdS		
cAz	câu		
caz	câu		
câu	cAz		
TdY	thuật		
tdy	thuật		
thuật	TdY		
s1Z	sơn		
s1z	sơn		
sơn	s1Z		
m9s	mất		
mất	m9s		
hlR	hỏi		
hlr	hỏi		
hỏi	hlR		
g3j	gặp		
gặp	g3j		
TG1	thái		
tg1	thái		
thái	TG1		
ChF	chiều		
chf	chiều		
chiều	ChF		
bdS	biến		
bds	biến		
biến	bdS		
lBs	lấy		
lbs	lấy		
lấy	lBs		
vUj	vệ		
vuj	vệ		
vệ	vUj		
bkf	bàn		
bàn	bkf		
lCa	luôn		
lca	luôn		
luôn	lCa		
tr0	tên		
tên	tr0		
fv3	phủ		
phủ	fv3		
xT3	xảy		
xt3	xảy		
xảy	xT3		
DWz	danh		
dwz	danh		
danh	DWz		
q75	quận		
quận	q75		
dNs	đức		
dns	đức		
đức	dNs		
dve	đúng		
đúng	dve		
TC1	thích		
tc1	thích		
thích	TC1		
Dgy	dục		
dgy	dục		
dục	Dgy		
djr	đảm		
đảm	djr		
bxR	bởi		
bxr	bởi		
bởi	bxR		
zBs	ấy		
zbs	ấy		
ấy	zBs		
tj7	tiết		
tiết	tj7		
bds	bác		
bác	bds		
hkj	hạn		
hạn	hkj		
hAj	hậu		
haj	hậu		
hậu	hAj		
dxF	đời		
dxf	đời		
đời	dxF		
q70	quân		
quân	q70		
zGz	ai		
zgz	ai		
ai	zGz		
hsr	hưởng		
hưởng	hsr		
cBz	cây		
cbz	cây		
cây	cBz		
qK3	quảng		
qk3	quảng		
quảng	qK3		
RW0	tranh		
rw0	tranh		
tranh	RW0		
s4Z	so		
s4z	so		
so	s4Z		
sKz	sang		
skz	sang		
sang	sKz		
dqJ	đội		
dqj	đội		
đội	dqJ		
tp7	tố		
tố	tp7		
czu	cửa		
cửa	czu		
vvi	vùng		
vùng	vvi		
kUr	kể		
kur	kể		
kể	kUr		
NCi	nguồn		
nci	nguồn		
nguồn	NCi		
RK5	trạng		
rk5	trạng		
trạng	RK5		
vhs	vốn		
vốn	vhs		
yQS	nhóm		
yqs	nhóm		
nhóm	yQS		
c1z	căn		
căn	c1z		
f70	phân		
phân	f70		
xrE	xuống		
xre	xuống		
xuống	xrE		
cme	cuối		
cuối	cme		
t91	tất		
tất	t91		
cSe	cứ		
cse	cứ		
cứ	cSe		
bTz	bay		
btz	bay		
bay	bTz		
Wlj	nghiệm		
wlj	nghiệm		
nghiệm	Wlj		
Ti1	thí		
ti1	thí		
thí	Ti1		
Chu	chuẩn		
chu	chuẩn		
chuẩn	Chu		
cpS	cố		
cps	cố		
cố	cpS		
tt2	tàu		
tàu	tt2		
lpz	lao		
lao	lpz		
mSr	mở		
msr	mở		
mở	mSr		
lhJ	liệu		
lhj	liệu		
liệu	lhJ		
nzw	nữa		
nữa	nzw		
ts1	tướng		
tướng	ts1		
tq7	tối		
tối	tq7		
zbu	uỷ		
uỷ	zbu		
lRa	lưu		
