# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
txU	tỷ		
txu	tỷ		
RS3	trở		
rs3	trở		
gBz	gây		
gbz	gây		
hsF	hoàn		
hsf	hoàn		
v7s	vấn		
tbA	tuy		
tba	tuy		
d1Z	đơn		
d1z	đơn		
KGz	khai		
kgz	khai		
tR7	tốt		
tr7	tốt		
mWj	mạnh		
mwj	mạnh		
jjr	giảm		
bjJ	biệt		
bjj	biệt		
ylj	nhiệm		
Dnj	dựng		
dnj	dựng		
Tt7	thống		
tt7	thống		
lge	lúc		
b9s	bất		
RK0	trang		
rk0	trang		
viz	vi		
TSE	thứ		
tse	thứ		
rqF	rồi		
rqf	rồi		
fp7	phố		
Wij	nghị		
wij	nghị		
tg7	tiếng		
def	đều		
dxj	đặc		
CtF	chồng		
ctf	chồng		
cps	cáo		
hpF	hồ		
hpf	hồ		
mNs	mức		
mns	mức		
Cis	chí		
cis	chí		
CUs	chế		
cus	chế		
xSU	xử		
xsu	xử		
ts5	tượng		
mqX	mỗi		
mqx	mỗi		
ytz	nhau		
tc0	ta		
jif	gì		
jne	giúp		
nSw	nữ		
nsw	nữ		
Clu	chuyển		
clu	chuyển		
TX0	thêm		
tx0	thêm		
dWs	đánh		
dws	đánh		
lrJ	loại		
lrj	loại		
Ri1	trí		
ri1	trí		
td7	tiến		
KdS	khiến		
kds	khiến		
Ciz	chi		
ciz	chi		
tQ2	tìm		
tq2	tìm		
mCe	muốn		
mce	muốn		
fv5	phụ		
ccs	cá		
T70	thân		
t70	thân		
Cly	chuyện		
cly	chuyện		
dsF	đoàn		
dsf	đoàn		
q1I	quyền		
q1i	quyền		
vSj	vợ		
vsj	vợ		
qk3	quản		
dtZ	đông		
dtz	đông		
bpS	bố		
bps	bố		
Cuz	chia		
cuz	chia		
hUJ	hoặc		
huj	hoặc		
sgs	sách		
tC1	tích		
tc1	tích		
fQ0	phim		
fq0	phim		
mKz	mang		
mkz	mang		
sNs	sức		
sns	sức		
hCZ	hoa		
hcz	hoa		
lxF	lời		
lxf	lời		
Dvi	dùng		
dvi	dùng		
N7z	ngân		
n7z	ngân		
Csz	chương		
csz	chương		
jjs	giám		
yyj	nhập		
NWf	ngành		
nwf	ngành		
tn2	từng		
nkj	nạn		
has	hết		
DdJ	diện		
ddj	diện		
Cla	chuyên		
cla	chuyên		
tT0	tay		
tt0	tay		
tC5	tịch		
tc5	tịch		
NTz	ngay		
ntz	ngay		
nxZ	nơi		
nxz	nơi		
KCZ	khoa		
kcz	khoa		
DCj	dịch		
dcj	dịch		
lyj	lập		
jSw	giữ		
jsw	giữ		
lxJ	lợi		
lxj	lợi		
Cns	chứng		
cns	chứng		
hGr	hải		
hgr	hải		
hpJ	hộ		
hpj	hộ		
Tj7	thiết		
tj7	thiết		
hss	hướng		
f47	phó		
td6	tiên		
fgY	phục		
fgy	phục		
mlJ	mọi		
mlj	mọi		
bpz	bao		
xP1	xét		
xp1	xét		
D7x	dẫn		
d7x	dẫn		
RlI	truyền		
rli	truyền		
bhR	biểu		
bhr	biểu		
fi1	phí		
ccz	ca		
bdR	biển		
bdr	biển		
TSA	thư		
tsa	thư		
bEs	bé		
bes	bé		
